first_index,all_indices,title_hi,title_en,youtube_url,tags
647,647,माँ सरस्वती मंत्र,Maa Saraswati Mantra,https://youtu.be/B2Mbb_uUC8E?si=9o3n9FgDqedN50LH,"Knowledge, LoveAndRelationship, Mantra"
648,648,राधा कृपा कटाक्ष,Radha Kripa Kataksha,https://youtu.be/nD43xuZB9xs?si=LMJtx3GY-6ANjWtb,"LoveAndRelationship, Strotam"
650,650,कामदेव स्तोत्र,Kamdev Stotra,https://youtu.be/w33Iznz_KsI?si=uYFHFSDCIwF4os7W,"LoveAndRelationship, Strotam"
651,651,अर्धनारीश्वर स्तोत्र,Ardhanarishwar Stotra,https://youtu.be/-pr1RUnmvyI?si=2PVjdNGq0NJo_38s,"LoveAndRelationship, Strotam"
652,652,जानकी स्तोत्र,Janki Stotra,https://youtu.be/LoGSKVXB2Ls?si=2Su-HweMiKrZ9_Fb,"LoveAndRelationship, Strotam"
653,653,पार्वती स्तोत्र,Parvati Stotra,https://youtu.be/SVvds0DcG9o?si=MMDOAIQtFUGfmMbP,"LoveAndRelationship, Strotam"
654,654,उमा महेश्वर स्तोत्र,Uma Maheshwar Stotra,https://youtu.be/62P8Q14nU0A?si=qD2LqxbE7pEEMdRw,"LoveAndRelationship, Strotam"
655,655,पार्वती स्तुति,Parvati Stuti,https://youtu.be/dUtIRqj23YQ?si=a5BLdB6m1ACieT8D,"LoveAndRelationship, Stuti"
656,656,राधा स्तुति,Radha Stuti,https://youtu.be/U6GsNZbJoCg?si=scgaeQU6MLSYdZNJ,"LoveAndRelationship, Stuti"
657,657,सीता स्तुति,Sita Stuti,https://youtu.be/RlNJspksnbg?si=RCael-63gpq5zKU4,"LoveAndRelationship, Ramji, Stuti"
658,658,कृष्ण स्तुति,Krishna Stuti,https://youtu.be/f_tCqLX6GNU?si=g9esdPlr_XnbbTWa,"Happiness, Knowledge, LoveAndRelationship, Peace, Stuti"
659,659,लक्ष्मी स्तुति,Lakshmi Stuti,https://youtu.be/yfYUZ6juevk?si=txXjqTklefjUdFv9,"Health, LoveAndRelationship, Stuti, Success"
660,660,गोपाल स्तुति,Gopal Stuti,https://youtu.be/gyLT2Yz_yHo?si=nhoDAX1GtLKoJJzs,"KrishnaJi, LoveAndRelationship, Strotam, Stuti"
661,"661, 687",दुर्गा स्तुति,Durga Stuti,https://youtu.be/1kskWmG_u5Q?si=NtjDNiRY45StpS88,"Happiness, LoveAndRelationship, Mantra, Stuti, Success"
663,663,हनुमान स्तुति,Hanuman Stuti,https://youtu.be/iWd6VAWduZg?si=qrMcv4ayCSmC3X_q,"HanumanJayanti, HanumanJi, Happiness, LoveAndRelationship, Mantra, Shloka, Strength, Stuti"
664,664,गणेश स्तुति,Ganesh Stuti,https://youtu.be/agqwzb3YzQ0?si=XnSUpCXTo4pmEzDK,"GaneshChaturthi, Happiness, Health, LoveAndRelationship, Mantra, Stuti, Success"
666,666,मीठे रस से भरयो री,Meethe Ras Se Bharyo Ri,https://youtu.be/4n1L6AQJe9w?si=hJNCIVTpZW79gT8h,"Bhajan, LoveAndRelationship"
667,667,यशोमती मैया से बोले,Yashomati Maiya Se Bole,https://youtu.be/yWTN6bsDWN4?si=UqPSo0fBRLeKdbXM,"Bhajan, KrishnaJi, LoveAndRelationship"
668,668,सीताराम चरित पावन,Sitaram Charit Pavan,https://youtu.be/mzC2BCNNjv8?si=zBzGv6XCc9R0tuPM,"Bhajan, LoveAndRelationship"
669,669,कन्हैया ले चल पार,Kanhaiya Le Chal Paar,https://youtu.be/mAsyg8JA6Ss?si=nB6Q9x1tXuBrc2hN,"Bhajan, LoveAndRelationship"
670,670,श्याम तेरी बंसी,Shyam Teri Bansi,https://youtu.be/NM9pHX6dqDc?si=yD0O5B6BDILeMxT8,"Bhajan, LoveAndRelationship"
671,671,हमें राधा रानी तेरे नाम का सहारा,Humein Radha Rani Tere Naam Ka Sahara,https://youtu.be/kEKE8ZotzAM?si=ZkzllJn7JhsF2G3Y,"Bhajan, LoveAndRelationship"
672,672,हरि बिन कोई न तेरा,Hari Bin Koi Na Tera,https://youtu.be/I8nSdrQiSTM?si=oMwUWlaloJ60zBpr,"Bhajan, LoveAndRelationship"
